Original Code,Extracted Variable
"int av_reallocp_array(void *ptr, size_t nmemb, size_t size) { void **ptrptr = ptr; void *ret; if (size <= 0 || nmemb >= INT_MAX / size) return AVERROR(ENOMEM); if (nmemb <= 0) { av_freep(ptr); return 0; } ret = av_realloc(*ptrptr, nmemb * size); if (!ret) { av_freep(ptr); return AVERROR(ENOMEM); } *ptrptr = ret; return 0; }","[['ptr'], ['nmemb'], ['size'], ['ptrptr'], ['ret'], ['INT_MAX'], ['AVERROR'], ['ENOMEM'], ['av_freep'], ['av_realloc']]"
"void ff_put_h264_qpel16_mc31_msa(uint8_t *dst, const uint8_t *src, ptrdiff_t stride) { avc_luma_hv_qrt_16w_msa(src - 2, src - (stride * 2) + sizeof(uint8_t), stride, dst, stride, 16); }","[['dst'], ['src'], ['stride'], ['avc_luma_hv_qrt_16w_msa']]"
"struct vhost_net *vhost_net_init(VLANClientState *backend, int devfd, bool force) { return NULL; }","[['vhost_net_init'], ['VLANClientState'], ['backend'], ['devfd'], ['bool'], ['force']]"
"static int bit8x8_c(MpegEncContext *s, uint8_t *src1, uint8_t *src2, ptrdiff_t stride, int h) { const uint8_t *scantable = s->intra_scantable.permutated; LOCAL_ALIGNED_16(int16_t, temp, [64]); int i, last, run, bits, level, start_i; const int esc_length = s->ac_esc_length; uint8_t *length, *last_length; av_assert2(h == 8); s->pdsp.diff_pixels(temp, src1, src2, stride); s->block_last_index[0 /* FIXME */] = last = s->fast_dct_quantize(s, temp, 0 /* FIXME */, s->qscale, &i); bits = 0; if (s->mb_intra) { start_i = 1; length = s->intra_ac_vlc_length; last_length = s->intra_ac_vlc_last_length; bits += s->luma_dc_vlc_length[temp[0] + 256]; // FIXME: chroma } else { start_i = 0; length = s->inter_ac_vlc_length; last_length = s->inter_ac_vlc_last_length; } if (last >= start_i) { run = 0; for (i = start_i; i < last; i++) { int j = scantable[i]; level = temp[j]; if (level) { level += 64; if ((level & (~127)) == 0) bits += length[UNI_AC_ENC_INDEX(run, level)]; else bits += esc_length; run = 0; } else run++; } i = scantable[last]; level = temp[i] + 64; av_assert2(level - 64); if ((level & (~127)) == 0) bits += last_length[UNI_AC_ENC_INDEX(run, level)]; else bits += esc_length; } return bits; }","[['s'], ['src1'], ['src2'], ['stride'], ['h'], ['scantable'], ['LOCAL_ALIGNED_16'], ['int16_t'], ['temp'], ['i'], ['last'], ['run'], ['bits'], ['level'], ['start_i'], ['esc_length'], ['length'], ['last_length'], ['av_assert2']]"
"static void ehci_mem_writew(void *ptr, target_phys_addr_t addr, uint32_t val) { fprintf(stderr, ""EHCI doesn't handle 16-bit writes to MMIO\n""); exit(1); }","[['ptr'], ['addr'], ['val']]"
"static void xendev_class_init(ObjectClass *klass, void *data) { DeviceClass *dc = DEVICE_CLASS(klass); dc->props = xendev_properties; set_bit(DEVICE_CATEGORY_MISC, dc->categories); }","[['klass'], ['data'], ['dc'], ['DEVICE_CLASS'], ['xendev_properties'], ['set_bit'], ['DEVICE_CATEGORY_MISC']]"
static uint64_t qdev_get_prop_mask64(Property *prop) { assert(prop->info == &qdev_prop_bit); return 0x1 << prop->bitnr; },"[['prop'], ['assert'], ['qdev_prop_bit']]"
"static int create_ppc_opcodes (CPUPPCState *env, ppc_def_t *def) { opcode_t *opc, *start, *end; fill_new_table(env->opcodes, 0x40); #if defined(PPC_DUMP_CPU) printf(""* PowerPC instructions for PVR %08x: %s flags %016"" PRIx64 "" %08x\n"", def->pvr, def->name, def->insns_flags, def->flags); #endif if (&opc_start < &opc_end) { start = &opc_start; end = &opc_end; } else { start = &opc_end; end = &opc_start; } for (opc = start + 1; opc != end; opc++) { if ((opc->handler.type & def->insns_flags) != 0) { if (register_insn(env->opcodes, opc) < 0) { printf(""*** ERROR initializing PowerPC instruction "" ""0x%02x 0x%02x 0x%02x\n"", opc->opc1, opc->opc2, opc->opc3); return -1; } #if defined(PPC_DUMP_CPU) if (opc1 != 0x00) { if (opc->opc3 == 0xFF) { if (opc->opc2 == 0xFF) { printf("" %02x -- -- (%2d ----) : %s\n"", opc->opc1, opc->opc1, opc->oname); } else { printf("" %02x %02x -- (%2d %4d) : %s\n"", opc->opc1, opc->opc2, opc->opc1, opc->opc2, opc->oname); } } else { printf("" %02x %02x %02x (%2d %4d) : %s\n"", opc->opc1, opc->opc2, opc->opc3, opc->opc1, (opc->opc3 << 5) | opc->opc2, opc->oname); } } #endif } } fix_opcode_tables(env->opcodes); fflush(stdout); fflush(stderr); return 0; }","[['env'], ['def'], ['opc'], ['start'], ['end'], ['fill_new_table'], ['PPC_DUMP_CPU'], ['PRIx64']]"
"static void smp_parse(const char *optarg) { int smp, sockets = 0, threads = 0, cores = 0; char *endptr; char option[128]; smp = strtoul(optarg, &endptr, 10); if (endptr != optarg) { if (*endptr == ',') { endptr++; } } if (get_param_value(option, 128, ""sockets"", endptr) != 0) sockets = strtoull(option, NULL, 10); if (get_param_value(option, 128, ""cores"", endptr) != 0) cores = strtoull(option, NULL, 10); if (get_param_value(option, 128, ""threads"", endptr) != 0) threads = strtoull(option, NULL, 10); if (get_param_value(option, 128, ""maxcpus"", endptr) != 0) max_cpus = strtoull(option, NULL, 10); /* compute missing values, prefer sockets over cores over threads */ if (smp == 0 || sockets == 0) { sockets = sockets > 0 ? sockets : 1; cores = cores > 0 ? cores : 1; threads = threads > 0 ? threads : 1; if (smp == 0) { smp = cores * threads * sockets; } } else { if (cores == 0) { threads = threads > 0 ? threads : 1; cores = smp / (sockets * threads); } else { threads = smp / (cores * sockets); } } smp_cpus = smp; smp_cores = cores > 0 ? cores : 1; smp_threads = threads > 0 ? threads : 1; if (max_cpus == 0) max_cpus = smp_cpus; }","[['optarg'], ['smp'], ['sockets'], ['threads'], ['cores'], ['endptr'], ['option'], ['get_param_value'], ['max_cpus'], ['smp_cpus'], ['smp_cores'], ['smp_threads']]"
"static inline void mix_2f_1r_to_dolby(AC3DecodeContext *ctx) { int i; float (*output)[256] = ctx->audio_block.block_output; for (i = 0; i < 256; i++) { output[1][i] -= output[3][i]; output[2][i] += output[3][i]; } memset(output[3], 0, sizeof(output[3])); }","[['ctx'], ['i'], ['output']]"
"static int config_props(AVFilterLink *outlink) { AVFilterContext *ctx = outlink->src; AVFilterLink *inlink = outlink->src->inputs[0]; ScaleContext *scale = ctx->priv; int64_t w, h; if (!(w = scale->w)) w = inlink->w; if (!(h = scale->h)) h = inlink->h; if (w == -1) w = av_rescale(h, inlink->w, inlink->h); if (h == -1) h = av_rescale(w, inlink->h, inlink->w); if (w > INT_MAX || h > INT_MAX || (h * inlink->w) > INT_MAX || (w * inlink->h) > INT_MAX) av_log(ctx, AV_LOG_ERROR, ""Rescaled value for width or height is too big.\n""); outlink->w = w; outlink->h = h; /* TODO: make algorithm configurable */ scale->sws = sws_getContext(inlink ->w, inlink ->h, inlink ->format, outlink->w, outlink->h, outlink->format, SWS_BILINEAR, NULL, NULL, NULL); av_log(ctx, AV_LOG_INFO, ""w:%d h:%d fmt:%s\n"", outlink->w, outlink->h, av_pix_fmt_descriptors[outlink->format].name); scale->input_is_pal = inlink->format == PIX_FMT_PAL8 || inlink->format == PIX_FMT_BGR4_BYTE || inlink->format == PIX_FMT_RGB4_BYTE || inlink->format == PIX_FMT_BGR8 || inlink->format == PIX_FMT_RGB8; return !scale->sws; }","[['outlink'], ['ctx'], ['inlink'], ['scale'], ['w'], ['h'], ['av_rescale'], ['INT_MAX'], ['av_log'], ['AV_LOG_ERROR'], ['sws_getContext'], ['SWS_BILINEAR'], ['AV_LOG_INFO'], ['av_pix_fmt_descriptors'], ['PIX_FMT_PAL8'], ['PIX_FMT_BGR4_BYTE'], ['PIX_FMT_RGB4_BYTE'], ['PIX_FMT_BGR8'], ['PIX_FMT_RGB8']]"
"static uint64_t omap_pwt_read(void *opaque, target_phys_addr_t addr, unsigned size) { struct omap_pwt_s *s = (struct omap_pwt_s *) opaque; int offset = addr & OMAP_MPUI_REG_MASK; if (size != 1) { return omap_badwidth_read8(opaque, addr); } switch (offset) { case 0x00: /* FRC */ return s->frc; case 0x04: /* VCR */ return s->vrc; case 0x08: /* GCR */ return s->gcr; } OMAP_BAD_REG(addr); return 0; }","[['opaque'], ['addr'], ['size'], ['s'], ['offset'], ['OMAP_MPUI_REG_MASK'], ['omap_badwidth_read8'], ['OMAP_BAD_REG']]"
"uint32_t lduw_be_phys(target_phys_addr_t addr) { return lduw_phys_internal(addr, DEVICE_BIG_ENDIAN); }","[['addr'], ['lduw_phys_internal'], ['DEVICE_BIG_ENDIAN']]"
static int find_stream_index(AVFormatContext *s) { int i; AVStream *st; if (s->nb_streams <= 0) return -1; for(i = 0; i < s->nb_streams; i++) { st = s->streams[i]; if (st->codec.codec_type == CODEC_TYPE_VIDEO) { return i; } } return 0; },"[['s'], ['i'], ['st'], ['CODEC_TYPE_VIDEO']]"
"gen_intermediate_code_internal(MIPSCPU *cpu, TranslationBlock *tb, bool search_pc) { CPUState *cs = CPU(cpu); CPUMIPSState *env = &cpu->env; DisasContext ctx; target_ulong pc_start; uint16_t *gen_opc_end; CPUBreakpoint *bp; int j, lj = -1; int num_insns; int max_insns; int insn_bytes; int is_branch; if (search_pc) qemu_log(""search pc %d\n"", search_pc); pc_start = tb->pc; gen_opc_end = tcg_ctx.gen_opc_buf + OPC_MAX_SIZE; ctx.pc = pc_start; ctx.saved_pc = -1; ctx.singlestep_enabled = cs->singlestep_enabled; ctx.insn_flags = env->insn_flags; ctx.tb = tb; ctx.bstate = BS_NONE; /* Restore delay slot state from the tb context. */ ctx.hflags = (uint32_t)tb->flags; /* FIXME: maybe use 64 bits here? */ restore_cpu_state(env, &ctx); #ifdef CONFIG_USER_ONLY ctx.mem_idx = MIPS_HFLAG_UM; #else ctx.mem_idx = ctx.hflags & MIPS_HFLAG_KSU; #endif num_insns = 0; max_insns = tb->cflags & CF_COUNT_MASK; if (max_insns == 0) max_insns = CF_COUNT_MASK; LOG_DISAS(""\ntb %p idx %d hflags %04x\n"", tb, ctx.mem_idx, ctx.hflags); gen_tb_start(); while (ctx.bstate == BS_NONE) { if (unlikely(!QTAILQ_EMPTY(&env->breakpoints))) { QTAILQ_FOREACH(bp, &env->breakpoints, entry) { if (bp->pc == ctx.pc) { save_cpu_state(&ctx, 1); ctx.bstate = BS_BRANCH; gen_helper_0e0i(raise_exception, EXCP_DEBUG); /* Include the breakpoint location or the tb won't * be flushed when it must be. */ ctx.pc += 4; goto done_generating; } } } if (search_pc) { j = tcg_ctx.gen_opc_ptr - tcg_ctx.gen_opc_buf; if (lj < j) { lj++; while (lj < j) tcg_ctx.gen_opc_instr_start[lj++] = 0; } tcg_ctx.gen_opc_pc[lj] = ctx.pc; gen_opc_hflags[lj] = ctx.hflags & MIPS_HFLAG_BMASK; gen_opc_btarget[lj] = ctx.btarget; tcg_ctx.gen_opc_instr_start[lj] = 1; tcg_ctx.gen_opc_icount[lj] = num_insns; } if (num_insns + 1 == max_insns && (tb->cflags & CF_LAST_IO)) gen_io_start(); is_branch = 0; if (!(ctx.hflags & MIPS_HFLAG_M16)) { ctx.opcode = cpu_ldl_code(env, ctx.pc); insn_bytes = 4; decode_opc(env, &ctx, &is_branch); } else if (ctx.insn_flags & ASE_MICROMIPS) { ctx.opcode = cpu_lduw_code(env, ctx.pc); insn_bytes = decode_micromips_opc(env, &ctx, &is_branch); } else if (ctx.insn_flags & ASE_MIPS16) { ctx.opcode = cpu_lduw_code(env, ctx.pc); insn_bytes = decode_mips16_opc(env, &ctx, &is_branch); } else { generate_exception(&ctx, EXCP_RI); ctx.bstate = BS_STOP; break; } if (!is_branch) { handle_delay_slot(&ctx, insn_bytes); } ctx.pc += insn_bytes; num_insns++; /* Execute a branch and its delay slot as a single instruction. This is what GDB expects and is consistent with what the hardware does (e.g. if a delay slot instruction faults, the reported PC is the PC of the branch). */ if (cs->singlestep_enabled && (ctx.hflags & MIPS_HFLAG_BMASK) == 0) { break; } if ((ctx.pc & (TARGET_PAGE_SIZE - 1)) == 0) break; if (tcg_ctx.gen_opc_ptr >= gen_opc_end) { break; } if (num_insns >= max_insns) break; if (singlestep) break; } if (tb->cflags & CF_LAST_IO) { gen_io_end(); } if (cs->singlestep_enabled && ctx.bstate != BS_BRANCH) { save_cpu_state(&ctx, ctx.bstate == BS_NONE); gen_helper_0e0i(raise_exception, EXCP_DEBUG); } else { switch (ctx.bstate) { case BS_STOP: gen_goto_tb(&ctx, 0, ctx.pc); break; case BS_NONE: save_cpu_state(&ctx, 0); gen_goto_tb(&ctx, 0, ctx.pc); break; case BS_EXCP: tcg_gen_exit_tb(0); break; case BS_BRANCH: default: break; } } done_generating: gen_tb_end(tb, num_insns); *tcg_ctx.gen_opc_ptr = INDEX_op_end; if (search_pc) { j = tcg_ctx.gen_opc_ptr - tcg_ctx.gen_opc_buf; lj++; while (lj <= j) tcg_ctx.gen_opc_instr_start[lj++] = 0; } else { tb->size = ctx.pc - pc_start; tb->icount = num_insns; } #ifdef DEBUG_DISAS LOG_DISAS(""\n""); if (qemu_loglevel_mask(CPU_LOG_TB_IN_ASM)) { qemu_log(""IN: %s\n"", lookup_symbol(pc_start)); log_target_disas(env, pc_start, ctx.pc - pc_start, 0); qemu_log(""\n""); } #endif }","[['gen_intermediate_code_internal'], ['MIPSCPU'], ['cpu'], ['TranslationBlock'], ['tb'], ['bool'], ['search_pc'], ['cs'], ['CPU'], ['env'], ['ctx'], ['pc_start'], ['gen_opc_end'], ['bp'], ['j'], ['lj'], ['num_insns'], ['max_insns'], ['insn_bytes'], ['is_branch'], ['qemu_log'], ['tcg_ctx'], ['OPC_MAX_SIZE'], ['BS_NONE'], ['restore_cpu_state'], ['CONFIG_USER_ONLY'], ['MIPS_HFLAG_UM'], ['MIPS_HFLAG_KSU'], ['CF_COUNT_MASK'], ['LOG_DISAS'], ['gen_tb_start'], ['unlikely'], ['QTAILQ_EMPTY'], ['QTAILQ_FOREACH'], ['entry'], ['save_cpu_state'], ['BS_BRANCH'], ['gen_helper_0e0i'], ['raise_exception'], ['EXCP_DEBUG'], ['gen_opc_hflags'], ['MIPS_HFLAG_BMASK'], ['gen_opc_btarget'], ['CF_LAST_IO'], ['gen_io_start'], ['MIPS_HFLAG_M16'], ['cpu_ldl_code'], ['decode_opc'], ['ASE_MICROMIPS'], ['cpu_lduw_code'], ['decode_micromips_opc'], ['ASE_MIPS16'], ['decode_mips16_opc'], ['generate_exception'], ['EXCP_RI'], ['BS_STOP'], ['handle_delay_slot'], ['TARGET_PAGE_SIZE'], ['singlestep'], ['gen_io_end'], ['gen_goto_tb'], ['BS_EXCP'], ['tcg_gen_exit_tb'], ['gen_tb_end'], ['gen_opc_ptr'], ['INDEX_op_end'], ['DEBUG_DISAS'], ['qemu_loglevel_mask'], ['CPU_LOG_TB_IN_ASM'], ['lookup_symbol'], ['log_target_disas']]"
